permno,date,ticker,prc,ret,shrout,vol
84788,16-08-2017,AMZN,978.17999,-0.00464,480380,3132066
84788,17-08-2017,AMZN,960.57001,-0.018003,480380,3541270
84788,18-08-2017,AMZN,958.46997,-0.002186,480380,3284821
84788,21-08-2017,AMZN,953.28998,-0.005404,480380,3164483
84788,22-08-2017,AMZN,966.90002,0.014277,480380,2749970
84788,23-08-2017,AMZN,958,-0.009205,480380,2668264
84788,24-08-2017,AMZN,952.45001,-0.005793,480380,5195726
84788,25-08-2017,AMZN,945.26001,-0.007549,480380,3324791
84788,28-08-2017,AMZN,946.02002,0.000804,480380,2596737
84788,29-08-2017,AMZN,954.06,0.008499,480380,2874373
84788,30-08-2017,AMZN,967.59003,0.014182,480380,2904604
84788,31-08-2017,AMZN,980.59998,0.013446,480380,3331488
84788,01-09-2017,AMZN,978.25,-0.002396,480380,2535917
84788,05-09-2017,AMZN,965.27002,-0.013269,480380,2999409
84788,06-09-2017,AMZN,967.79999,0.002621,480380,2129861
84788,07-09-2017,AMZN,979.46997,0.012058,480380,2566794
84788,08-09-2017,AMZN,965.90002,-0.013854,480380,2605342
84788,11-09-2017,AMZN,977.96002,0.012486,480380,2186666
84788,12-09-2017,AMZN,982.58002,0.004724,480380,2481066
84788,13-09-2017,AMZN,999.59998,0.017322,480380,3374650
84788,14-09-2017,AMZN,992.21002,-0.007393,480380,3913635
84788,15-09-2017,AMZN,986.78998,-0.005463,480380,3760183
84788,18-09-2017,AMZN,974.19,-0.012769,480380,3411350
84788,19-09-2017,AMZN,969.85999,-0.004445,480380,2671054
84788,20-09-2017,AMZN,973.21002,0.003454,480380,2888796
84788,21-09-2017,AMZN,964.65002,-0.008796,480380,2337576
84788,22-09-2017,AMZN,955.09998,-0.0099,480380,2641787
84788,25-09-2017,AMZN,939.78998,-0.01603,480380,5124071
84788,26-09-2017,AMZN,938.59998,-0.001266,480380,3564848
84788,27-09-2017,AMZN,950.87,0.013073,480380,3148943
84788,28-09-2017,AMZN,956.40002,0.005816,480380,2523352
84788,29-09-2017,AMZN,961.34998,0.005176,482000,2543759
84788,02-10-2017,AMZN,959.19,-0.002247,482000,2442937
84788,03-10-2017,AMZN,957.09998,-0.002179,482000,2670624
84788,04-10-2017,AMZN,965.45001,0.008724,482000,2527352
84788,05-10-2017,AMZN,980.84998,0.015951,482000,3229224
84788,06-10-2017,AMZN,989.58002,0.0089,482000,3782067
84788,09-10-2017,AMZN,990.98999,0.001425,482000,2938622
84788,10-10-2017,AMZN,987.20001,-0.003824,482000,3084921
84788,11-10-2017,AMZN,995,0.007901,482000,2337113
84788,12-10-2017,AMZN,1000.92999,0.00596,482000,4067351
84788,13-10-2017,AMZN,1002.94,0.002008,482000,2431462
84788,16-10-2017,AMZN,1006.34003,0.00339,482000,2008908
84788,17-10-2017,AMZN,1009.13,0.002772,482000,2319742
84788,18-10-2017,AMZN,997,-0.01202,481872,2499681
84788,19-10-2017,AMZN,986.60999,-0.010421,481872,3108299
84788,20-10-2017,AMZN,982.90997,-0.00375,481872,2365122
84788,23-10-2017,AMZN,966.29999,-0.016899,481872,3494300
84788,24-10-2017,AMZN,975.90002,0.009935,481872,2723935
84788,25-10-2017,AMZN,972.90997,-0.003064,481872,3033113
84788,26-10-2017,AMZN,972.42999,-0.000493,481872,5624824
84788,27-10-2017,AMZN,1100.94995,0.132164,481872,16565298
84788,30-10-2017,AMZN,1110.84998,0.008992,481872,6613064
84788,31-10-2017,AMZN,1105.28003,-0.005014,481872,3476974
84788,01-11-2017,AMZN,1103.68005,-0.001448,481872,3755511
84788,02-11-2017,AMZN,1094.21997,-0.008571,481872,3684876
84788,03-11-2017,AMZN,1111.59998,0.015884,481872,3754247
84788,06-11-2017,AMZN,1120.66003,0.00815,481872,3381138
84788,07-11-2017,AMZN,1123.17004,0.00224,481872,2690077
84788,08-11-2017,AMZN,1132.88,0.008645,481872,2581458
84788,09-11-2017,AMZN,1129.13,-0.00331,481872,3738335
84788,10-11-2017,AMZN,1125.34998,-0.003348,481872,2179937
84788,13-11-2017,AMZN,1129.17004,0.003395,481872,2918439
84788,14-11-2017,AMZN,1136.83997,0.006793,481872,3138573
84788,15-11-2017,AMZN,1126.68994,-0.008928,481872,3928680
84788,16-11-2017,AMZN,1137.29004,0.009408,481872,2213332
84788,17-11-2017,AMZN,1129.88,-0.006516,481872,2413488
84788,20-11-2017,AMZN,1126.31006,-0.00316,481872,2163855
84788,21-11-2017,AMZN,1139.48999,0.011702,481872,2479405
84788,22-11-2017,AMZN,1156.16003,0.014629,481872,3555276
84788,24-11-2017,AMZN,1186,0.02581,481872,3528041
84788,27-11-2017,AMZN,1195.82996,0.008288,481872,6744045
